Role,Driver,Profile,Same node,Host Network,Service,Duration,Parallelism,# of Samples,Message Size,Burst,Confidence metric - low,Confidence metric - high,Pod Name,Utilization
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,dns-default-94994,0.159790
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,image-registry-67cb7b999b-hqxts,0.089296
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,node-ca-6xnr4,0.086717
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,router-default-7dc6749db-jlqcd,0.365090
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,alertmanager-main-1,0.281365
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,kube-state-metrics-59d46448cd-9cgq2,0.191455
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,metrics-server-69c9dff856-shm6f,0.308726
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,node-exporter-tc96b,0.459520
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,ovnkube-node-ffs5k,1.127267
Client,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,sdn-ovn-migration-0-external-traffic-1-7fbf4b97c7-596k8,0.191441
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,aws-ebs-csi-driver-node-t2cds,0.059492
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,dns-default-n2988,0.130000
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,node-exporter-sc42n,0.412744
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,prometheus-k8s-0,9.919614
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,thanos-querier-794d6765bd-wk6qc,0.339732
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,multus-cg5vx,0.120715
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,ovnkube-node-522cq,1.617950
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,sdn-ovn-migration-0-db-1-cdd4c9dcb-t2blj,0.168163
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,sdn-ovn-migration-0-db-2-b5cf88875-gfcm5,0.194544
Server,netperf,TCP_CRR,false,false,false,10,1,3,1024,0,693.2548608367787,704.4784724965547,sdn-ovn-migration-0-db-3-644747d478-bzwzm,0.179044
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,client-across-57945f8659-g452h,2.461244
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,dns-default-94994,0.151632
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,image-registry-67cb7b999b-hqxts,0.107849
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,router-default-7dc6749db-jlqcd,0.323927
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,alertmanager-main-1,0.278711
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,kube-state-metrics-59d46448cd-9cgq2,0.231172
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,metrics-server-69c9dff856-shm6f,0.250220
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,node-exporter-tc96b,0.339537
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,ovnkube-node-ffs5k,1.063807
Client,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,sdn-ovn-migration-0-external-traffic-1-7fbf4b97c7-596k8,0.190530
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,server-857857fbb6-66lck,0.816151
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,aws-ebs-csi-driver-node-t2cds,0.050252
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,dns-default-n2988,0.133719
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,node-exporter-sc42n,0.389791
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,prometheus-k8s-0,13.486567
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,thanos-querier-794d6765bd-wk6qc,0.241924
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,ovnkube-node-522cq,0.969808
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,sdn-ovn-migration-0-db-1-cdd4c9dcb-t2blj,0.177726
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,sdn-ovn-migration-0-db-2-b5cf88875-gfcm5,0.187238
Server,netperf,TCP_CRR,false,false,true,10,1,3,1024,0,70.88274091823118,422.25059241510223,sdn-ovn-migration-0-db-3-644747d478-bzwzm,0.155992
